ticker,falsification,label,stated_value,true_value,verdict,tool_binary,correct,final_confidence,human_review,reason,claim
,,true,,,partially_supported,uncertain,False,0.834,True,Only some material numeric values in the claim were matched directly in the evidence.,
,,false,,,contradicted,not_credible,True,0.886,True,"The claim that Nvidia reported first-quarter revenue of $61.62 billion is contradicted by the evidence, which states that the revenues for the fiscal quarter ending 2026-04-26 were $81.615 billion.",
,,true,,,partially_supported,uncertain,False,0.71,True,,
,,false,,,partially_supported,uncertain,False,0.71,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,contradicted,not_credible,True,0.78,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,partially_supported,uncertain,False,0.83,True,Only some material numeric values in the claim were matched directly in the evidence.,
,,false,,,partially_supported,uncertain,False,0.886,False,All material numeric values in the claim were matched directly in the evidence.,
,,true,,,contradicted,not_credible,False,0.882,True,The claim regarding Apple's Greater China revenue of $20.50 billion in the second quarter is not supported by the provided evidence. The evidence does not contain specific revenue figures for Greater China or the second quarter.,
,,false,,,contradicted,not_credible,True,0.882,True,"The claim regarding Apple's Greater China revenue of $30.50 billion in the second quarter is not supported by the provided evidence, which does not contain specific revenue figures for Greater China.",
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,contradicted,not_credible,False,0.882,True,"The claim regarding Apple's iPhone revenue of $56.99 billion in the second quarter is not supported by the provided evidence, which does not contain relevant figures for the specified quarter.",
,,false,,,contradicted,not_credible,True,0.882,True,"The claim regarding Apple's iPhone revenue of $46.99 billion in the second quarter is not supported by the provided evidence, which does not contain relevant figures for the specified quarter.",
,,true,,,insufficient,uncertain,False,0.836,True,,
,,true,,,supported,credible,True,0.893,False,"Microsoft reported adjusted earnings per share of $4.27, which is confirmed by the SEC filing for the fiscal quarter ending 2026-03-31. The claim that this figure beats consensus by $0.21 is also supported, assuming the consensus was $4.06.",
,,false,,,contradicted,not_credible,True,0.777,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,contradicted,not_credible,True,0.883,True,"The claim of Microsoft reporting revenue of $92.89 billion is not supported by the provided evidence, which does not include any revenue figure matching or exceeding this amount.",
,,true,,,partially_supported,uncertain,False,0.837,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,contradicted,not_credible,True,0.779,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,contradicted,not_credible,True,0.885,True,"The claim that Amazon reported revenue of $151.5 billion is contradicted by the evidence, which shows that for the fiscal year ending 2025-12-31, Amazon's revenue was reported as $716.9 billion, and for the fiscal quarter ending 2025-03-31, it was $155.7 billion.",
,,true,,,partially_supported,uncertain,False,0.833,True,Only some material numeric values in the claim were matched directly in the evidence.,
,,false,,,contradicted,not_credible,True,0.833,True,Only some material numeric values in the claim were matched directly in the evidence.,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,partially_supported,uncertain,False,0.779,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,false,,,supported,credible,False,0.895,False,"Alphabet's reported revenue for the fiscal year ending 2023-12-31 is approximately $307.39 billion, and for the fiscal year ending 2024-12-31, it is projected to be $350.02 billion. The claim of nearly $140 billion is supported by the quarterly revenues reported, which indicate that the company is on track to achieve this figure in the near future.",
,,true,,,partially_supported,uncertain,False,0.849,True,,
,,false,,,partially_supported,uncertain,False,0.849,True,,
,,true,,,partially_supported,uncertain,False,0.827,True,Only some material numeric values in the claim were matched directly in the evidence.,
,,false,,,contradicted,not_credible,True,0.879,True,"The claim that Tesla posted first-quarter revenue of $32.39 billion is contradicted by the evidence, which states that the revenue for the fiscal quarter ending 2026-03-31 was $22.39 billion.",
,,true,,,contradicted,not_credible,False,0.879,True,"The claim that Tesla reported first-quarter adjusted earnings of 41 cents per share is contradicted by the evidence, which states that the earnings per share diluted for the fiscal quarter ending March 31, 2026, is 0.13 (13 cents).",
,,false,,,contradicted,not_credible,True,0.856,True,"The claim regarding Tesla's first-quarter adjusted earnings of 81 cents per share is not supported by the provided evidence, which consists of SEC filings that do not contain specific earnings information.",
,,true,,,contradicted,not_credible,False,0.879,True,The claim regarding Tesla's services and other revenue climbing to $3.75 billion from $2.64 billion is not supported by the provided evidence. The evidence does not contain specific figures for the claimed period.,
,,true,,,partially_supported,uncertain,False,0.791,True,,
,,true,,,not_applicable,uncertain,False,0.0,False,,
,,true,,,partially_supported,uncertain,False,0.842,False,All material numeric values in the claim were matched directly in the evidence.,
,,false,,,contradicted,not_credible,True,0.838,True,"The claim regarding JPMorgan's fourth-quarter net income of $24.7 billion is not supported by the provided evidence, which does not include any data for the fourth quarter of 2023 or any relevant period that confirms this figure.",
,,true,,,contradicted,not_credible,False,0.82,True,"The claim regarding JPMorgan's fourth-quarter net revenue of $46.8 billion and a 7% increase is not supported by the provided evidence, which only includes annual revenue figures and does not specify quarterly results.",
,,false,,,contradicted,not_credible,True,0.82,True,The claim regarding JPMorgan's fourth-quarter net revenue of $66.8 billion is not found in the provided evidence.,
,,true,,,contradicted,not_credible,False,0.838,True,"The claim regarding JPMorgan's net interest income of $25.1 billion in the fourth quarter is not supported by the provided evidence, which does not contain relevant data for the fourth quarter.",
,,false,,,partially_supported,uncertain,False,0.842,False,All material numeric values in the claim were matched directly in the evidence.,
,,true,,,contradicted,not_credible,False,0.274,True,No evidence was available for numeric verification.,
,,false,,,contradicted,not_credible,True,0.274,True,No evidence was available for numeric verification.,
,,false,,,contradicted,not_credible,True,0.274,True,No evidence was available for numeric verification.,
,,true,,,contradicted,not_credible,False,0.772,True,"The claim regarding the 12-month energy index gain of 17.9% in April 2026 cannot be verified with the provided evidence, as it does not include energy index data.",
,,false,,,contradicted,not_credible,True,0.772,True,"The claim regarding the 12-month energy index gain of 7.9% in April 2026 cannot be verified with the provided evidence, as it does not include energy index data.",
,,true,,,contradicted,not_credible,False,0.824,True,,
,,false,,,contradicted,not_credible,True,0.824,True,,
,,true,,,partially_supported,uncertain,False,0.733,True,,
